Title_Pinyin,Title,Title_Translation,Title_Abbreviation,Category,Associated_Location,Date,Author,Author_Pinyin,Author_Dates,Author2,Author2_Pinyin,Author3,Author3_Pinyin,Edition,Editor,Editor_Pinyin,Editor2,Editor2_Pinyin,Publication_Date,Publishing_House,Publication_Location,Sub-edition,Sub-edition_Pinyin,Sub-edition_Translation,Sub-edition_Author,Sub-edition_Author_Pinyin,Sub-edition_Author_CBDB,Digital_Edition,Collection,Link,Note,
Zhengde Jianchang fuzhi,正德建昌府志,,,地方誌,建昌,1517,夏良勝,Xia Liangsheng,,,,,,,,,,,,,,,,,,,,,天一閣藏明代方志選刊,,,
Jiajing Chaling zhouzhi,嘉靖茶陵州志,,,地方誌,茶陵縣,1525,夏良勝修,Xia Liangsheng,,張治纂修,Zhang Zhi,,,,,,,,,,,,,,,,,,天一閣藏明代方志選刊,,,
Erbi kenqing,珥筆肯綮,Brushpen Hatpin's Critical Points,EBKQ,訟書,,1500-1569,小桃源覺非山人,xiao taoyuan juefei shanren,,,,,,歷代珍稀司法文獻,楊一凡,Yang Yifan,,,2012,北京社会科学文献出版社,北京,,,,,,,,,,,
Zhengde Ruizhou fuzhi,正德瑞州府志,,,地方誌,瑞州,1515,熊相,Xiong Xiang,,,,,,,,,,,,,,,,,,,,,天一閣藏明代方志選刊,,,
Nongzheng quanshu,農政全書,Complete book of agricultural adminsitration,,農家,,1639,徐光啟,Xu Guangqi,,,,,,,,,,,,,,鬆杉柏檜,song shan bai hui,"pine, fir, cypress, cedar",,,,Wikisource,,https://zh.wikisource.org/wiki/%E8%BE%B2%E6%94%BF%E5%85%A8%E6%9B%B8/%E5%8D%B738,,
Jiajing Linjiang fuzhi,嘉靖臨江府志,,,地方誌,臨江,1561,徐顥,Xu Hao,,楊鈞,Yang Jun,,,,,,,,,,,,,,,,,,天一閣藏明代方志選刊,,,
Song huiyao jigao,宋會要輯稿,Draft Institutional History of the Song,SHY,政書,,,徐松,Xu Song,,,,,,,,,,,,,,刑法,xingfa,Punishments,,,,Digital Edition of Unknown Provenance,,,,
Song huiyao jigao,宋會要輯稿,Draft Institutional History of the Song,SHY,政書,,,徐松,Xu Song,,,,,,,,,,,,,,食貨,shihuo,Food and Commodities,,,,Digital Edition of Unknown Provenance,,,,
Song huiyao jigao,宋會要輯稿,Draft Institutional History of the Song,SHY,政書,,,徐松,Xu Song,,,,,,,,,,,,,,兵,bing,Military,,,,Digital Edition of Unknown Provenance,,,,
Song huiyao jigao,宋會要輯稿,Draft Institutional History of the Song,SHY,政書,,,徐松,Xu Song,,,,,,,,,,,,,,職官,zhiguan,Offices,,,,Digital Edition of Unknown Provenance,,,,
